ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
Mortadela Anton|svinjsko meso, slanina, drobovina, sol, NATRIJEV KAZENAT (MLEČNE BELJAKOVINE, LAKTOZA), arome, začimbe, sladkorji: saharoza, dektroza, stabilizatorji: E450, E452, E451, ojačevalec arome E621, antioksidanti: E301, E316, konzervans E250.|1kg|268,00|22,40 g|7,70 g|1,40 g|1,20 g|1,00 g|15,20 g|2,80 g
Mortadela z olivami Anton|svinjsko meso, slanina, drobovina, olive 5,00 %, sol, NATRIJEV KAZENAT (MLEČNE BELJAKOVINE, LAKTOZA), arome, začimbe, sladkorji: saharoza, dekstroza, stabilizatorji: E450, E452, E451, ojačevalec arome e621, antioksidanti: E301, E316, konzervans e250.|1kg|282,00|25,00 g|10,20 g|1,30 g|1,20 g|1,00 g|13,00 g|2,50 g
Alkoholni kis|alkoholni kis 100,00 %.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Negazirana brezalkoholna pijača z mešanim sadnim sokom in vitaminom C.|voda 88,66 %, sladkor 9,56 %, askorbinska kislina 0,19 %, sadna baza 1,59 %.|0,5l|35,70|0,10 g|0,10 g|8,60 g|8,60 g|0,0 g|0,10 g|0,02 g
Alkoholni kis 9 %|alkoholni kis 100,00 %.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Alkoholni kis|alkoholni kis 100,00 %.|5l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
NEGAZIRANA BREZALKOHOLNA PIJAČA S SOKOM GOZDNIH SADEŽEV IZ ZGOŠČENEGA SOKA S SLADILI. BREZ ENERGIJSKE VREDNOSTI. SADNI DELEŽ: 0,1%.|voda, kislina (citronska kislina), sok gozdnih sadežev 0,1% iz zgoščenih sokov borovnic, brusnic in bezgovih jagod, sladila: natrijev ciklamat, natrijev saharinat, aspartam (vsebuje vir fenilalanina), acesulfam k, sok iz zgoščenih sokov črnega korenja, hibiskusa in črnega ribeza, aroma, konzervansa (kalijev sorbat, natrijev benzoat).|2l|2,40|0,00 g|0,00 g|0,50 g|0,50 g|0,0 g|0,10 g|0,05 g
Vinski kis s 4 % kislosti|voda 60,00 %, vinski kis 39,80 %, KALIJEV METABISULFIT 0,17 %.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Vinski kis s 4 % kislosti|voda, vinski kis, KALIJEV METABISULFIT.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Vinski kis s 4 % kislosti|voda 60,00 %, vinski kis 39,80 %, KALIJEV METABISULFIT 0,17 %.|0,5l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Jogurtov napitek z okusom maline, s kulturo ActiRegularis in 0,9% mlečne maščobe.|JOGURT, sladkor, maline 3,00 %, koncentrat črnega korenja, MLEČNE BELJAKOVINE, naravna aroma, kultura bifidus actiregularis.|300g|65,00|0,80 g|0,50 g|11,20 g|11,10 g|0,10 g|3,00 g|0,14 g
Aromatiziran alkoholni kis za vlaganje 9 %|alkoholni kis 99,90 %, aroma pehtrana 0,10 %.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Aromatiziran alkoholni kis za vlaganje 9 %|alkoholni kis 99,80 %, zeliščna aroma 0,10 %, barvilo karamel 0,07 %.|1l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Vafli s kremo z okusom pomaranče in limone (70% kreme).|sladkor, PŠENIČNA MOKA, RASTLINSKA MAŠČOBA (DELOMA HIDROGENIRANA (SOJINA MAŠČOBA, palmova maščoba)), palmova mast, RASTLINSKO OLJE (SOJINO), dekstroza, citronska kislina, EMULGATOR SOJIN LECITIN, kuhinjska sol, sredstvo za vzhajanje (natrijev hidrogenkarbonat), naravna aroma (aroma limone, aroma pomaranče, druge naravne arome).|200g|496,00|20,00 g|5,00 g|75,00 g|47,00 g|0,0 g|4,00 g|0,30 g
